cm.DESPC,cm.DESSC,cm.DESWC,cm.DESPL,cm.DESPLd,cm.DESSL,cm.DESSLd,cm.DESWLsy,cm.DESWLsyd,cm.DESWLlt,cm.DESWLltd,cm.CRFNO1,cm.CRFAO1,cm.CRFSO1,cm.CRFNOa,cm.CRFAOa,cm.CRFSOa,cm.CRFCWO1,cm.CRFCWO1d,cm.CRFCWOa,cm.CRFCWOad,cm.CRFANP1,cm.CRFANPa,cm.LSASS1,cm.LSASS1d,cm.LSASSp,cm.LSASSpd,cm.LSAPP1,cm.LSAPP1d,cm.LSAGN,cm.LSAGNd,cm.LDTTRc,cm.LDTTRa,cm.LDMTLDa,cm.LDVOCDa,cm.CNCAll,cm.CNCCaus,cm.CNCLogic,cm.CNCADC,cm.CNCTemp,cm.CNCAdd,cm.CNCPos,cm.CNCNeg,cm.CNCAlter,cm.CNCConclu,cm.CNCExpli,cm.CNCConce,cm.CNCCondi,cm.CNCConfor,cm.CNCFinal,cm.CNCProp,cm.CNCComp,cm.CNCConse,cm.CNCInte,cm.SMCAUSv,cm.SMCAUSvp,cm.SMCAUSr,cm.SMCAUSlsa,cm.SMCAUSwn,cm.SYNLE,cm.SYNMEDpos,cm.SYNMEDwrd,cm.SYNMEDlem,cm.SYNSTRUTa,cm.SYNSTRUTt,cm.DRNP,cm.DRVP,cm.DRAP,cm.DRPP,cm.DRPVAL,cm.DRNEG,cm.DRGERUND,cm.DRINF,cm.WRDNOUN,cm.WRDVERB,cm.WRDADJ,cm.WRDADV,cm.WRDPRO,cm.WRDPRP1s,cm.WRDPRP1p,cm.WRDPRP2,cm.WRDPRP3s,cm.WRDPRP3p,cm.WRDFRQc,cm.WRDFRQa,cm.WRDFRQmc,cm.WRDAOAc,cm.WRDFAMc,cm.WRDCNCc,cm.WRDIMGc,cm.WRDMEAc,cm.RDFRE,cm.RDFKGL,cm.RDL2,liwc.funct,liwc.pronoun,liwc.ppron,liwc.i,liwc.we,liwc.you,liwc.shehe,liwc.they,liwc.ipron,liwc.article,liwc.verb,liwc.auxverb,liwc.past,liwc.present,liwc.future,liwc.adverb,liwc.preps,liwc.conj,liwc.negate,liwc.quant,liwc.number,liwc.swear,liwc.social,liwc.family,liwc.friend,liwc.humans,liwc.affect,liwc.posemo,liwc.negemo,liwc.anx,liwc.anger,liwc.sad,liwc.cogmech,liwc.insight,liwc.cause,liwc.discrep,liwc.tentat,liwc.certain,liwc.inhib,liwc.incl,liwc.excl,liwc.percept,liwc.see,liwc.hear,liwc.feel,liwc.bio,liwc.body,liwc.health,liwc.sexual,liwc.ingest,liwc.relativ,liwc.motion,liwc.space,liwc.time,liwc.work,liwc.achieve,liwc.leisure,liwc.home,liwc.money,liwc.relig,liwc.death,liwc.assent,liwc.nonfl,liwc.filler, add.greeting, add.compliment, add.ners
17,6,5,0,0,5,4,2,4,3,5,0,2,3,0,2,4,3,0,1,0,2,8,0,0,2,2,2,1,0,0,1,14,3,2,3,0,1,4,4,1,4,1,0,1,1,1,0,0,2,7,2,5,4,2,3,2,0,0,0,0,1,0,0,1,3,41,3.0,0.0,12.0,2.943920288775949,1.9268292682926829,1.0097089655549025,5.111111111111111,2.776666444355511,0,1,-1,0,1,-1,0.05952380952380952,0.011904761904761904,0.05417529330572809,0.012316472255055035,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.9090909090909091,0.8611111111111112,72.57600000000004,0.0,3.0,0.0,3.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,-1,0.8174603174603174,1.0,0.9642857142857143,0.7404820455133845,0.7404820455133845,0,2,0,0,0,0,0,5,10,8,2,2,1,0,0,0,0,0,6.33647773511376,1.8463230517823306,6.160464464693933,451.57142857142856,567.2380952380952,337.0,329.8095238095238,314.0769230769231,20.755000000000024,13.345555555555556,140.2660342922009,0,0,0
3,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,2,1,0,0,0,0,3,1,0,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,1,0,0,1,2,8,2.0,0.0,3.0,1.0,2.125,1.246423454758225,6.0,2.70801280154532,0,0,-1,0,0,-1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,6.642665768811966,1.8935133541269622,5.535554807343305,486.0,571.5,349.5,327.0,260.0,-7.7099999999999795,15.080000000000002,77.88499449705809,0,1,0
8,3,2,0,0,2,2,1,2,1,4,0,0,2,0,2,1,1,0,2,1,2,3,0,0,3,5,4,1,0,0,1,10,2,2,3,3,2,4,1,1,4,0,0,2,1,1,0,0,1,2,0,1,1,1,2,2,0,0,0,0,0,0,0,1,1,19,1.0,0.0,17.0,0.0,1.5789473684210527,0.6924826089821247,4.470588235294118,1.5762071772910897,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,2,2,1,0,0,0,0,0,6.654951151759919,1.8953611117389821,6.654951151759919,437.5,570.9090909090909,369.44444444444446,381.72727272727275,409.85714285714283,50.2388235294118,10.47529411764706,0,0,1,0
10,2,1,0,0,1,0,1,1,1,5,2,2,2,0,0,4,1,0,1,1,1,2,0,0,2,2,2,0,0,0,0,10,1,2,0,1,1,2,4,0,2,2,1,0,3,2,1,0,0,1,2,3,3,1,1,1,0,1,1,0,0,0,0,1,2,23,2.0,0.0,10.0,1.0,1.6956521739130435,0.7648400075533118,4.5,2.179449471770337,0,0,-1,0,0,-1,0.05,0.0,0.05,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.9,56.000000000000014,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,-1,1.0,1.0,1.0,0,0,0,2,0,0,0,0,0,2,5,4,1,0,2,0,0,1,0,0,6.631262536535044,1.8917952139020329,6.631262536535044,392.3333333333333,564.3,373.7,375.9,365.5,44.405,9.55,104.82668462376067,0,0,0
13,3,3,0,0,3,0,3,0,3,3,1,0,2,0,2,4,3,0,3,1,1,4,0,0,4,4,3,0,0,0,0,13,1,1,3,3,2,3,2,1,2,0,0,2,0,0,0,0,1,6,2,4,2,2,5,2,0,0,0,0,0,0,0,1,2,31,2.0,0.0,12.5,0.5,1.7419354838709677,0.964978132238718,5.08,2.4806450773941844,0,0,-1,0,0,-1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.96,174.9999999999999,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,-1,1.0,1.0,1.0,0,0,0,2,0,0,0,0,0,4,5,6,2,3,0,0,0,0,0,0,6.633897358014786,1.8921924682940396,6.357484968097503,403.0,590.0909090909091,312.3333333333333,339.8181818181818,375.0,32.504999999999995,11.706666666666667,96.13595371660504,0,1,2
3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,2,2,0,0,0,0,3,0,0,1,2,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,3.0,0.0,3.0,1.4142135623730951,1.8333333333333333,1.0298573010888745,5.0,2.260776661041756,0,0,-1,0,0,-1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0.75,1.0,1.0,0.516227766016838,0.516227766016838,2,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,6.520880693576837,1.8750094425186292,6.520880693576837,486.0,570.6666666666666,324.6666666666667,317.3333333333333,335.0,25.190000000000026,10.491111111111113,131.4120152243019,0,2,1
3,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,1,0,0,0,0,2,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,7,1.0,0.0,6.0,0.0,1.8571428571428572,1.0690449676496976,4.833333333333333,2.266911751455907,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,6.600220643016792,1.8871030792337045,6.600220643016792,269.0,561.0,422.5,413.5,349.5,31.545000000000016,10.350000000000001,0,0,0,0
6,2,1,0,0,1,0,1,1,0,3,0,2,2,0,0,4,2,0,2,0,1,4,0,0,0,0,0,0,0,0,0,8,0,2,0,1,0,1,2,0,2,1,0,0,1,0,0,0,0,2,1,2,2,2,1,1,0,0,0,0,0,0,0,1,1,15,1.0,0.0,14.0,0.0,2,1.0,5.571428571428571,2.025349554108261,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.9285714285714286,54.88000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1,0,0,0,0,0,0,1,0,0,1,0,0,2,2,5,0,2,0,0,0,0,0,0,6.642330175412301,1.8934628319587739,6.642330175412301,389.0,571.4285714285714,351.85714285714283,383.2857142857143,376.3333333333333,17.932307692307717,13.98769230769231,0,0,0,1
10,5,2,0,0,2,1,1,4,0,2,0,1,1,0,1,5,0,0,0,0,2,6,0,0,2,1,1,0,0,0,0,6,0,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,2,4,1,3,2,1,0,1,0,0,0,0,1,0,0,1,1,23,1.0,0.0,19.0,0.0,1.7391304347826086,0.8643121965600912,4.842105263157895,2.2539592742488272,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.8947368421052632,50.54000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1,0,0,0,0,0,0,1,0,0,0,0,0,2,4,4,0,1,1,0,0,0,0,0,6.547885771306632,1.879142214534892,6.184114339567374,484.3333333333333,538.1111111111111,333.3333333333333,351.3333333333333,347.0,33.465,13.063333333333333,0,0,0,1
12,6,2,0,0,2,1,1,5,0,7,3,2,4,1,1,2,2,0,0,0,0,4,0,0,2,2,1,1,0,1,0,11,2,2,1,1,0,3,2,1,3,2,1,0,5,3,2,0,0,1,1,1,1,2,1,1,0,2,0,0,0,0,0,1,3,26,3.0,0.0,7.666666666666667,2.494438257849294,1.8461538461538463,0.8805592628464114,4.869565217391305,2.2516534567346174,0,0,-1,0,0,-1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,5.0,-1,1.0,1.0,1.0,0.30273331570884404,0.30273331570884404,1,2,0,0,0,0,0,3,5,5,1,2,3,0,0,1,0,0,6.631259857921346,1.8917948099647397,6.631259857921346,329.0,555.5454545454545,350.1818181818182,378.45454545454544,373.3,33.53159420289856,10.486956521739135,120.77449379798988,0,0,1
